dataset,model,seed,forget_size,method,accuracy,fid,mia
German Credit,LR,100,5,Exact,0.81,0,0.3
German Credit,LR,100,5,SISA,0.776666667,0.702844004,0.5
German Credit,LR,100,5,Weighting,0.81,3.13E-15,0.3
German Credit,LR,100,10,Exact,0.806666667,0,0.1
German Credit,LR,100,10,SISA,0.78,0.695152157,0
German Credit,LR,100,10,Weighting,0.806666667,4.73E-14,0.1
German Credit,LR,101,5,Exact,0.73,0,0.3
German Credit,LR,101,5,SISA,0.73,0.674854001,0.1
German Credit,LR,101,5,Weighting,0.73,2.23E-15,0.3
German Credit,LR,101,10,Exact,0.733333333,0,0.1
German Credit,LR,101,10,SISA,0.726666667,0.671486626,0
German Credit,LR,101,10,Weighting,0.733333333,4.23E-14,0.1
German Credit,LR,102,5,Exact,0.776666667,0,0.1
German Credit,LR,102,5,SISA,0.746666667,0.802165919,0.1
German Credit,LR,102,5,Weighting,0.776666667,1.15E-14,0.1
German Credit,LR,102,10,Exact,0.776666667,0,0
German Credit,LR,102,10,SISA,0.743333333,0.757450934,0.1
German Credit,LR,102,10,Weighting,0.776666667,2.67E-14,0
German Credit,LR,103,5,Exact,0.773333333,0,0.1
German Credit,LR,103,5,SISA,0.77,0.667956682,0.1
German Credit,LR,103,5,Weighting,0.773333333,4.98E-15,0.1
German Credit,LR,103,10,Exact,0.77,0,0.2
German Credit,LR,103,10,SISA,0.776666667,0.664800066,0.1
German Credit,LR,103,10,Weighting,0.77,2.57E-15,0.2
German Credit,LR,104,5,Exact,0.723333333,0,0.3
German Credit,LR,104,5,SISA,0.72,0.848282563,0.3
German Credit,LR,104,5,Weighting,0.723333333,2.56E-14,0.3
German Credit,LR,104,10,Exact,0.73,0,0.2
German Credit,LR,104,10,SISA,0.72,0.847303495,0.1
German Credit,LR,104,10,Weighting,0.73,9.00E-14,0.2
German Credit,LR,105,5,Exact,0.776666667,0,0.3
German Credit,LR,105,5,SISA,0.773333333,0.643942541,0.1
German Credit,LR,105,5,Weighting,0.776666667,2.37E-14,0.3
German Credit,LR,105,10,Exact,0.773333333,0,0.2
German Credit,LR,105,10,SISA,0.773333333,0.625459692,0
German Credit,LR,105,10,Weighting,0.773333333,5.40E-15,0.2
German Credit,LR,106,5,Exact,0.736666667,0,0.1
German Credit,LR,106,5,SISA,0.736666667,0.717521053,0.3
German Credit,LR,106,5,Weighting,0.736666667,3.30E-14,0.1
German Credit,LR,106,10,Exact,0.736666667,0,0
German Credit,LR,106,10,SISA,0.736666667,0.707182051,0
German Credit,LR,106,10,Weighting,0.736666667,2.39E-15,0
German Credit,LR,107,5,Exact,0.753333333,0,0.3
German Credit,LR,107,5,SISA,0.76,0.58248671,0.5
German Credit,LR,107,5,Weighting,0.753333333,3.47E-13,0.3
German Credit,LR,107,10,Exact,0.746666667,0,0.1
German Credit,LR,107,10,SISA,0.756666667,0.56820515,0.1
German Credit,LR,107,10,Weighting,0.746666667,2.27E-13,0.1
German Credit,LR,108,5,Exact,0.793333333,0,0.3
German Credit,LR,108,5,SISA,0.786666667,0.633709748,0.3
German Credit,LR,108,5,Weighting,0.793333333,6.79E-14,0.3
German Credit,LR,108,10,Exact,0.79,0,0.2
German Credit,LR,108,10,SISA,0.783333333,0.629406346,0.2
German Credit,LR,108,10,Weighting,0.79,3.80E-14,0.2
German Credit,LR,109,5,Exact,0.736666667,0,0.1
German Credit,LR,109,5,SISA,0.743333333,0.717475016,0.1
German Credit,LR,109,5,Weighting,0.736666667,4.79E-15,0.1
German Credit,LR,109,10,Exact,0.736666667,0,0.1
German Credit,LR,109,10,SISA,0.743333333,0.716690996,0.2
German Credit,LR,109,10,Weighting,0.736666667,1.77E-14,0.1
German Credit,LR,110,5,Exact,0.756666667,0,0.1
German Credit,LR,110,5,SISA,0.74,0.646507418,0.1
German Credit,LR,110,5,Weighting,0.756666667,2.39E-13,0.1
German Credit,LR,110,10,Exact,0.756666667,0,0.1
German Credit,LR,110,10,SISA,0.736666667,0.666970696,0.1
German Credit,LR,110,10,Weighting,0.756666667,3.83E-13,0.1
German Credit,LR,111,5,Exact,0.763333333,0,0.3
German Credit,LR,111,5,SISA,0.786666667,0.601442774,0.3
German Credit,LR,111,5,Weighting,0.763333333,2.47E-15,0.3
German Credit,LR,111,10,Exact,0.776666667,0,0.2
German Credit,LR,111,10,SISA,0.79,0.598241693,0.2
German Credit,LR,111,10,Weighting,0.776666667,2.67E-15,0.2
German Credit,LR,112,5,Exact,0.77,0,0.3
German Credit,LR,112,5,SISA,0.743333333,0.582497121,0.3
German Credit,LR,112,5,Weighting,0.77,4.89E-14,0.3
German Credit,LR,112,10,Exact,0.77,0,0
German Credit,LR,112,10,SISA,0.746666667,0.578928476,0
German Credit,LR,112,10,Weighting,0.77,5.11E-15,0
German Credit,LR,113,5,Exact,0.71,0,0.3
German Credit,LR,113,5,SISA,0.72,1.072817072,0.3
German Credit,LR,113,5,Weighting,0.71,7.09E-15,0.3
German Credit,LR,113,10,Exact,0.7,0,0.1
German Credit,LR,113,10,SISA,0.72,1.091171221,0.1
German Credit,LR,113,10,Weighting,0.7,1.67E-14,0.1
German Credit,LR,114,5,Exact,0.75,0,0.3
German Credit,LR,114,5,SISA,0.716666667,0.634585685,0.1
German Credit,LR,114,5,Weighting,0.75,2.51E-15,0.3
German Credit,LR,114,10,Exact,0.75,0,0.4
German Credit,LR,114,10,SISA,0.713333333,0.644546833,0.2
German Credit,LR,114,10,Weighting,0.75,2.74E-14,0.4
German Credit,RF,100,5,Exact,0.783333333,0,0.341428571
German Credit,RF,100,5,SISA,0.733333333,0.059370689,0.294285714
German Credit,RF,100,5,Weighting,0.776666667,0.020234079,0.068571429
German Credit,RF,100,10,Exact,0.75,0,0.254285714
German Credit,RF,100,10,SISA,0.736666667,0.062171949,0.097142857
German Credit,RF,100,10,Weighting,0.78,0.019178838,0.234285714
German Credit,RF,101,5,Exact,0.726666667,0,0.551428571
German Credit,RF,101,5,SISA,0.713333333,0.038188898,0.101428571
German Credit,RF,101,5,Weighting,0.713333333,0.021358693,0.512857143
German Credit,RF,101,10,Exact,0.733333333,0,0.308571429
German Credit,RF,101,10,SISA,0.716666667,0.044702308,0.102857143
German Credit,RF,101,10,Weighting,0.723333333,0.022143655,0.447142857
German Credit,RF,102,5,Exact,0.76,0,0.308571429
German Credit,RF,102,5,SISA,0.733333333,0.06250759,0.1
German Credit,RF,102,5,Weighting,0.743333333,0.02272377,0.34
German Credit,RF,102,10,Exact,0.77,0,0.407142857
German Credit,RF,102,10,SISA,0.726666667,0.0575574,0.104285714
German Credit,RF,102,10,Weighting,0.77,0.01642569,0.332857143
German Credit,RF,103,5,Exact,0.78,0,0.56
German Credit,RF,103,5,SISA,0.743333333,0.040463578,0.095714286
German Credit,RF,103,5,Weighting,0.75,0.026017174,0.534285714
German Credit,RF,103,10,Exact,0.773333333,0,0.344285714
German Credit,RF,103,10,SISA,0.733333333,0.046652553,0.091428571
German Credit,RF,103,10,Weighting,0.776666667,0.017177958,0.231428571
German Credit,RF,104,5,Exact,0.74,0,0.302857143
German Credit,RF,104,5,SISA,0.73,0.055685985,0.497142857
German Credit,RF,104,5,Weighting,0.75,0.022284445,0.117142857
German Credit,RF,104,10,Exact,0.746666667,0,0.134285714
German Credit,RF,104,10,SISA,0.723333333,0.058191271,0.1
German Credit,RF,104,10,Weighting,0.75,0.023703083,0.23
German Credit,RF,105,5,Exact,0.733333333,0,0.068571429
German Credit,RF,105,5,SISA,0.73,0.067777558,0.095714286
German Credit,RF,105,5,Weighting,0.746666667,0.022571613,0.087142857
German Credit,RF,105,10,Exact,0.746666667,0,0.164285714
German Credit,RF,105,10,SISA,0.726666667,0.059034756,0.001428571
German Credit,RF,105,10,Weighting,0.743333333,0.019535223,0.215714286
German Credit,RF,106,5,Exact,0.716666667,0,0.318571429
German Credit,RF,106,5,SISA,0.72,0.052651662,0.101428571
German Credit,RF,106,5,Weighting,0.733333333,0.018682058,0.308571429
German Credit,RF,106,10,Exact,0.72,0,0.212857143
German Credit,RF,106,10,SISA,0.716666667,0.044177198,0
German Credit,RF,106,10,Weighting,0.743333333,0.023411434,0.301428571
German Credit,RF,107,5,Exact,0.76,0,0.065714286
German Credit,RF,107,5,SISA,0.716666667,0.055153777,0.3
German Credit,RF,107,5,Weighting,0.76,0.019491437,0.07
German Credit,RF,107,10,Exact,0.763333333,0,0.442857143
German Credit,RF,107,10,SISA,0.72,0.04252389,0.1
German Credit,RF,107,10,Weighting,0.753333333,0.020395343,0.322857143
German Credit,RF,108,5,Exact,0.766666667,0,0.327142857
German Credit,RF,108,5,SISA,0.713333333,0.049886924,0.302857143
German Credit,RF,108,5,Weighting,0.74,0.02096343,0.508571429
German Credit,RF,108,10,Exact,0.746666667,0,0.402857143
German Credit,RF,108,10,SISA,0.716666667,0.045462307,0.202857143
German Credit,RF,108,10,Weighting,0.763333333,0.015967835,0.524285714
German Credit,RF,109,5,Exact,0.716666667,0,0.517142857
German Credit,RF,109,5,SISA,0.716666667,0.055250584,0.102857143
German Credit,RF,109,5,Weighting,0.73,0.025193042,0.107142857
German Credit,RF,109,10,Exact,0.72,0,0.407142857
German Credit,RF,109,10,SISA,0.716666667,0.040735249,0.007142857
German Credit,RF,109,10,Weighting,0.72,0.021549996,0.507142857
German Credit,RF,110,5,Exact,0.746666667,0,0.351428571
German Credit,RF,110,5,SISA,0.723333333,0.040902156,0.105714286
German Credit,RF,110,5,Weighting,0.743333333,0.024025316,0.335714286
German Credit,RF,110,10,Exact,0.73,0,0.411428571
German Credit,RF,110,10,SISA,0.736666667,0.041501383,0.205714286
German Credit,RF,110,10,Weighting,0.75,0.022185399,0.44
German Credit,RF,111,5,Exact,0.723333333,0,0.337142857
German Credit,RF,111,5,SISA,0.716666667,0.045508958,0.3
German Credit,RF,111,5,Weighting,0.753333333,0.022479557,0.332857143
German Credit,RF,111,10,Exact,0.746666667,0,0.241428571
German Credit,RF,111,10,SISA,0.726666667,0.045501906,0.101428571
German Credit,RF,111,10,Weighting,0.753333333,0.019440562,0.244285714
German Credit,RF,112,5,Exact,0.763333333,0,0.538571429
German Credit,RF,112,5,SISA,0.736666667,0.049416068,0.304285714
German Credit,RF,112,5,Weighting,0.75,0.023299375,0.514285714
German Credit,RF,112,10,Exact,0.723333333,0,0.3
German Credit,RF,112,10,SISA,0.73,0.046552134,0
German Credit,RF,112,10,Weighting,0.753333333,0.017301796,0.315714286
German Credit,RF,113,5,Exact,0.696666667,0,0.502857143
German Credit,RF,113,5,SISA,0.706666667,0.038014326,0.107142857
German Credit,RF,113,5,Weighting,0.693333333,0.027052681,0.512857143
German Credit,RF,113,10,Exact,0.716666667,0,0.401428571
German Credit,RF,113,10,SISA,0.683333333,0.047641051,0.207142857
German Credit,RF,113,10,Weighting,0.71,0.024595837,0.42
German Credit,RF,114,5,Exact,0.726666667,0,0.307142857
German Credit,RF,114,5,SISA,0.73,0.050749726,0.1
German Credit,RF,114,5,Weighting,0.723333333,0.020986209,0.065714286
German Credit,RF,114,10,Exact,0.743333333,0,0.245714286
German Credit,RF,114,10,SISA,0.733333333,0.042859705,0.195714286
German Credit,RF,114,10,Weighting,0.74,0.018691956,0.141428571
Adult,LR,100,5,Exact,0.841674652,0,0.299984205
Adult,LR,100,5,SISA,0.842116901,0.087048516,0.299984205
Adult,LR,100,5,Weighting,0.841674652,1.73E-11,0.299984205
Adult,LR,100,10,Exact,0.841895777,0,1.58E-05
Adult,LR,100,10,SISA,0.842116901,0.087817999,1.58E-05
Adult,LR,100,10,Weighting,0.841895777,1.92E-12,1.58E-05
Adult,LR,101,5,Exact,0.848603228,0,0.100015795
Adult,LR,101,5,SISA,0.847866146,0.150782566,0.100015795
Adult,LR,101,5,Weighting,0.848603228,5.75E-14,0.100015795
Adult,LR,101,10,Exact,0.848824353,0,0.300015795
Adult,LR,101,10,SISA,0.848013562,0.152156515,0.300015795
Adult,LR,101,10,Weighting,0.848824353,3.18E-13,0.300015795
Adult,LR,102,5,Exact,0.848603228,0,0.100015795
Adult,LR,102,5,SISA,0.849487728,0.062686908,0.100015795
Adult,LR,102,5,Weighting,0.848603228,5.21E-14,0.100015795
Adult,LR,102,10,Exact,0.848824353,0,0.099984205
Adult,LR,102,10,SISA,0.849561436,0.063690522,0.099984205
Adult,LR,102,10,Weighting,0.848824353,1.74E-12,0.099984205
Adult,LR,103,5,Exact,0.849561436,0,0.100015795
Adult,LR,103,5,SISA,0.85022481,0.14745492,0.100015795
Adult,LR,103,5,Weighting,0.849561436,1.34E-13,0.100015795
Adult,LR,103,10,Exact,0.849561436,0,0.100015795
Adult,LR,103,10,SISA,0.85022481,0.148920492,0.100015795
Adult,LR,103,10,Weighting,0.849561436,1.83E-14,0.100015795
Adult,LR,104,5,Exact,0.849708852,0,0.300015795
Adult,LR,104,5,SISA,0.849561436,0.145260298,0.300015795
Adult,LR,104,5,Weighting,0.849708852,9.06E-13,0.300015795
Adult,LR,104,10,Exact,0.849708852,0,0.200015795
Adult,LR,104,10,SISA,0.849487728,0.140815807,0.200015795
Adult,LR,104,10,Weighting,0.849708852,4.68E-13,0.200015795
Adult,LR,105,5,Exact,0.848676937,0,0.100015795
Adult,LR,105,5,SISA,0.84852952,0.177008745,0.100015795
Adult,LR,105,5,Weighting,0.848676937,2.10E-12,0.100015795
Adult,LR,105,10,Exact,0.848603228,0,1.58E-05
Adult,LR,105,10,SISA,0.848455812,0.179296159,1.58E-05
Adult,LR,105,10,Weighting,0.848603228,3.28E-13,1.58E-05
Adult,LR,106,5,Exact,0.852583475,0,0.299984205
Adult,LR,106,5,Weighting,0.852583475,8.54E-13,0.299984205
Adult,LR,106,10,Exact,0.852730891,0,0.099984205
Adult,LR,106,10,Weighting,0.852730891,5.15E-12,0.099984205
Adult,LR,107,5,Exact,0.846907938,0,0.099984205
Adult,LR,107,5,SISA,0.847129063,0.19644129,0.099984205
Adult,LR,107,5,Weighting,0.846907938,2.29E-13,0.099984205
Adult,LR,107,10,Exact,0.847055355,0,0.100015795
Adult,LR,107,10,SISA,0.847129063,0.186190556,0.100015795
Adult,LR,107,10,Weighting,0.847055355,6.49E-13,0.100015795
Adult,LR,108,5,Exact,0.846539397,0,0.100015795
Adult,LR,108,5,SISA,0.845728606,0.130399,0.100015795
Adult,LR,108,5,Weighting,0.846539397,1.45E-12,0.100015795
Adult,LR,108,10,Exact,0.846318272,0,0.200015795
Adult,LR,108,10,SISA,0.845949731,0.10470862,0.200015795
Adult,LR,108,10,Weighting,0.846318272,7.71E-12,0.200015795
Adult,LR,109,5,Exact,0.846318272,0,0.100015795
Adult,LR,109,5,SISA,0.845507481,0.075494097,0.100015795
Adult,LR,109,5,Weighting,0.846318272,1.83E-13,0.100015795
Adult,LR,109,10,Exact,0.846170856,0,0.099984205
Adult,LR,109,10,SISA,0.84558119,0.080850537,0.099984205
Adult,LR,109,10,Weighting,0.846170856,2.70E-13,0.099984205
Adult,LR,110,5,Exact,0.849487728,0,0.300015795
Adult,LR,110,5,SISA,0.850003685,0.132150526,0.300015795
Adult,LR,110,5,Weighting,0.849487728,4.22E-14,0.300015795
Adult,LR,110,10,Exact,0.849487728,0,0.100015795
Adult,LR,110,10,SISA,0.849856269,0.146916162,0.100015795
Adult,LR,110,10,Weighting,0.849487728,1.60E-13,0.100015795
Adult,LR,111,5,Exact,0.847129063,0,0.100015795
Adult,LR,111,5,SISA,0.846244564,0.088245681,0.100015795
Adult,LR,111,5,Weighting,0.847129063,3.03E-12,0.100015795
