dataset,model,forget_size,method,acc_mean,acc_std,fid_mean,fid_std,mia_mean,mia_std,n,d_acc,d_fid,d_acc_label,d_fid_label
Adult,GB,5,Exact,0.8566199999999999,0.0030896601754885986,0.0,0.0,0.15331333333333333,0.09135949295164106,15,,,---,---
Adult,GB,5,SISA,0.85596,0.002996855494871694,0.030847266666666665,0.004060003227772584,0.16665999999999997,0.09759490472648369,15,-0.21684764412679694,10.744972463007873,-0.22 (Small),10.74 (Large)
Adult,GB,5,Weighting,0.8566199999999999,0.0030896601754885986,3.66e-05,6.91734879023129e-05,0.15331333333333333,0.09135949295164106,15,0.0,0.7482666835587543,0.00 (Neg.),0.75 (Med.)
Adult,GB,10,Exact,0.8567533333333334,0.0031197222098556508,0.0,0.0,0.1997866666666667,0.11933910786773406,15,,,---,---
Adult,GB,10,SISA,0.8559533333333333,0.002904889146315403,0.030908933333333333,0.0039016742645519072,0.2000066666666667,0.11950495187986782,15,-0.26540860637538527,11.203352651866231,-0.27 (Small),11.20 (Large)
Adult,GB,10,Weighting,0.8567533333333334,0.0031197222098556508,0.000179,0.00045604166476320994,0.1997866666666667,0.11933910786773406,15,0.0,0.555090131504155,0.00 (Neg.),0.56 (Med.)
Adult,LR,5,Exact,0.8481413232,0.0024963789155725983,0.0,0.0,0.15333649233333332,0.09154557121451061,15,,,---,---
Adult,LR,5,SISA,0.8476713453571428,0.0023557581644203514,0.12501108114285714,0.04084619236804587,0.14286165571428572,0.0851634717943036,14,-0.19363863379454116,4.328245942881506,-0.19 (Neg.),4.33 (Large)
Adult,LR,5,Weighting,0.8481413232,0.0024963789155725983,3.1286533333333332e-12,5.763184562978387e-12,0.15333649233333332,0.09154557121451061,15,0.0,0.7677324797797533,0.00 (Neg.),0.77 (Med.)
Adult,LR,10,Exact,0.8481609788,0.002501896458409785,0.0,0.0,0.093340706,0.08837082857172451,15,,,---,---
Adult,LR,10,SISA,0.8477081995000001,0.0023189704815408147,0.12372368935714285,0.03903398135931383,0.09286617035714285,0.09168690793980597,14,-0.18770636180049174,4.482548625134225,-0.19 (Neg.),4.48 (Large)
Adult,LR,10,Weighting,0.8481609788,0.002501896458409785,5.21742e-12,1.3986245273849795e-11,0.093340706,0.08837082857172451,15,0.0,0.5275573236508562,0.00 (Neg.),0.53 (Med.)
Adult,MLP,5,Exact,0.7487066666666667,0.12481782420029297,0.00023773333333333336,0.0001760419863338884,0.18000000000000002,0.1264911064067352,15,,,---,---
Adult,MLP,5,SISA,0.73868,0.13748994872353398,0.130413,0.049961092003106354,0.10806,0.028313722064448838,15,-0.07636057849689849,3.6847570259944815,-0.08 (Neg.),3.68 (Large)
Adult,MLP,5,Weighting,0.7649733333333334,0.11140701097883426,0.11520333333333334,0.09561167335086435,0.16121333333333335,0.10367709394810315,15,0.13750049767419664,1.7004789210239513,0.14 (Neg.),1.70 (Large)
Adult,MLP,10,Exact,0.7081533333333333,0.1612227246773263,0.0003202666666666667,0.0002900641472567914,0.15238000000000002,0.1195623280373642,15,,,---,---
Adult,MLP,10,SISA,0.7378,0.13744589584892772,0.13096946666666667,0.04915387687495356,0.12060000000000001,0.08574024725879906,15,0.19789936836558994,3.758862276705664,0.20 (Neg.),3.76 (Large)
Adult,MLP,10,Weighting,0.7605400000000001,0.1358245128307637,0.14051960000000002,0.08545817481819479,0.14972666666666667,0.11730732815171965,15,0.3514338037304124,2.320089996622292,0.35 (Small),2.32 (Large)
Adult,RF,5,Exact,0.8482494288000001,0.0035280230313568775,0.0,0.0,0.15753382826666668,0.09271233015943785,15,,,---,---
Adult,RF,5,SISA,0.8562000934,0.00225804302617775,0.017812432066666665,0.004004098691542964,0.16691412619999998,0.09764620252685413,15,2.6843121773097827,6.291199330509588,2.68 (Large),6.29 (Large)
Adult,RF,5,Weighting,0.8482002899333333,0.003099989467847108,0.011913727,0.00168609747967264,0.16729742546666668,0.10314178115562223,15,-0.014796809461862837,9.992633584317863,-0.01 (Neg.),9.99 (Large)
Adult,RF,10,Exact,0.8486523672666666,0.0033182364424626447,0.0,0.0,0.12979308180000002,0.10235665537331655,15,,,---,---
Adult,RF,10,SISA,0.8563081988000001,0.0027273290302347584,0.017118453466666666,0.0030887696193481985,0.07446322333333333,0.09560792688619234,15,2.520697633964591,7.837796936283455,2.52 (Large),7.84 (Large)
Adult,RF,10,Weighting,0.8480135623333334,0.0030641214645676386,0.011151786933333333,0.0017546812289471545,0.12220818193333334,0.10546269170911732,15,-0.20001987056949905,8.98796206720579,-0.20 (Small),8.99 (Large)
German Credit,GB,5,Exact,0.747,0.020511320915881672,0.0,0.0,0.1665866666666667,0.1234893509964475,15,,,---,---
German Credit,GB,5,SISA,0.7463333333333334,0.02056927898822026,0.2836873333333333,0.026971908456939496,0.14,0.11212238211627762,15,-0.03245648820785799,14.874530473583718,-0.03 (Neg.),14.87 (Large)
German Credit,GB,5,Weighting,0.7466666666666666,0.02118512506003973,0.0006041999999999999,0.0009678911686164484,0.15325333333333332,0.09159798708538981,15,-0.015986485712856276,0.8828139589363571,-0.02 (Neg.),0.88 (Large)
German Credit,GB,10,Exact,0.753,0.02433398564031091,0.0,0.0,0.1,0.08451542547285165,15,,,---,---
German Credit,GB,10,SISA,0.7453333333333333,0.02199567056967179,0.2861322,0.0240813505203864,0.09333333333333334,0.07988086367179803,15,-0.3305407846200895,16.803544200275944,-0.33 (Small),16.80 (Large)
German Credit,GB,10,Weighting,0.7526666666666666,0.024412135935890217,0.0014762,0.0016217091601147227,0.1,0.08451542547285165,15,-0.013676284150421696,1.2873221118313705,-0.01 (Neg.),1.29 (Large)
German Credit,LR,5,Exact,0.7573333333333333,0.0271737501516001,0.0,0.0,0.23333333333333334,0.0975900072948533,15,,,---,---
German Credit,LR,5,SISA,0.7500000000666667,0.02410295382016782,0.7019392204666667,0.12695568777477154,0.23333333333333334,0.14474937289114917,15,-0.28551828565396714,7.81920040720558,-0.29 (Small),7.82 (Large)
German Credit,LR,5,Weighting,0.7573333333333333,0.0271737501516001,5.492e-14,1.0065925810802076e-13,0.23333333333333334,0.0975900072948533,15,0.0,0.7715992577869155,0.00 (Neg.),0.77 (Med.)
German Credit,LR,10,Exact,0.7568888890000001,0.027327138323318834,0.0,0.0,0.13333333333333333,0.10465362369445673,15,,,---,---
German Credit,LR,10,SISA,0.7497777778,0.02543172203200615,0.6975330954666668,0.13022424329114024,0.09333333333333334,0.07988086367179803,15,-0.2693965148972494,7.575093077005889,-0.27 (Small),7.58 (Large)
German Credit,LR,10,Weighting,0.7568888890000001,0.027327138323318834,6.228266666666667e-14,1.054690778967037e-13,0.13333333333333333,0.10465362369445673,15,0.0,0.8351356971853791,0.00 (Neg.),0.84 (Large)
German Credit,MLP,5,Exact,0.646,0.07723341245859854,0.00042533333333333334,0.00015318227548841777,0.15333333333333335,0.11872336794093273,15,,,---,---
German Credit,MLP,5,SISA,0.7003333333333333,0.0012909944487358082,0.14611873333333333,0.06936355183839778,0.16666666666666666,0.09759000729485331,15,0.994753462246684,2.970451690187855,0.99 (Large),2.97 (Large)
German Credit,MLP,5,Weighting,0.6523333333333333,0.10633281086601004,0.0988704,0.048788293354041404,0.15333333333333332,0.09154754164341268,15,0.06815225342673586,2.8535874620853585,0.07 (Neg.),2.85 (Large)
German Credit,MLP,10,Exact,0.669,0.08084818223948244,0.00047633333333333333,0.0001476383935095991,0.16,0.0828078671210825,15,,,---,---
German Credit,MLP,10,SISA,0.7003333333333333,0.0012909944487358082,0.14281606666666666,0.04817878354401399,0.14,0.11212238211627763,15,0.5480194537423079,4.178142771559352,0.55 (Med.),4.18 (Large)
German Credit,MLP,10,Weighting,0.6699999999999999,0.08347369132162026,0.09174866666666667,0.049025774478717775,0.15333333333333332,0.0915475416434127,15,0.012169680846914655,2.632859710064346,0.01 (Neg.),2.63 (Large)
German Credit,RF,5,Exact,0.7426666667333334,0.025516878819683522,0.0,0.0,0.3599047619333334,0.15529006673057233,15,,,---,---
German Credit,RF,5,SISA,0.7242222222,0.010424837967857585,0.05076856526666666,0.008955766371134788,0.19390476186666666,0.12711472587464673,15,-0.9463118163982458,8.016912296166357,-0.95 (Large),8.02 (Large)
German Credit,RF,5,Weighting,0.7404444443333333,0.019994708440196532,0.0224908586,0.002362414536817297,0.2943809524666667,0.19193921129064945,15,-0.09694422257014117,13.46371551894807,-0.10 (Neg.),13.46 (Large)
German Credit,RF,10,Exact,0.7419999999999999,0.018029957390189907,0.0,0.0,0.31190476180000004,0.09946308730620633,15,,,---,---
German Credit,RF,10,SISA,0.722888889,0.013145502437663794,0.048351004,0.007119372890253504,0.10114285706666666,0.07598181472058452,15,-1.2112590172043276,9.604588306473854,-1.21 (Large),9.60 (Large)
German Credit,RF,10,Weighting,0.7486666665333334,0.019992061958814523,0.020113640333333335,0.0027438407367067646,0.32723809513333335,0.11614616644397978,15,0.35020799073919134,10.366849127779544,0.35 (Small),10.37 (Large)
Heart Disease,GB,5,Exact,0.8131400000000001,0.04630329824722454,0.0,0.0,0.20666666666666667,0.1486446705914413,15,,,---,---
Heart Disease,GB,5,SISA,0.8186066666666666,0.05313002200352675,0.7538926,0.1814717049596753,0.16666666666666666,0.0975900072948533,15,0.10969819663131647,5.875103998883058,0.11 (Neg.),5.88 (Large)
Heart Disease,GB,5,Weighting,0.8131400000000001,0.04630329824722454,0.0036378666666666668,0.0040501853373230545,0.20666666666666667,0.1486446705914413,15,0.0,1.2702431986743046,0.00 (Neg.),1.27 (Large)
Heart Disease,GB,10,Exact,0.8153266666666668,0.038444755664397694,0.0,0.0,0.12000000000000001,0.08618916073713347,15,,,---,---
Heart Disease,GB,10,SISA,0.8098466666666667,0.059372250212014824,0.7752256000000001,0.16287081363978542,0.08000000000000002,0.08618916073713347,15,-0.10956644128610946,6.73131381196104,-0.11 (Neg.),6.73 (Large)
Heart Disease,GB,10,Weighting,0.8153266666666668,0.038444755664397694,0.0028043333333333336,0.002350035126383879,0.12000000000000001,0.08618916073713347,15,0.0,1.6876029591598174,0.00 (Neg.),1.69 (Large)
Heart Disease,LR,5,Exact,0.8432234430666666,0.03486594592289757,0.0,0.0,0.16666666666666666,0.12344267996967351,15,,,---,---
Heart Disease,LR,5,SISA,0.8388278386666667,0.03365751700045186,0.30538114606666666,0.0952313419272855,0.15333333333333332,0.11872336794093272,15,-0.1282749251228741,4.535000239629927,-0.13 (Neg.),4.54 (Large)
Heart Disease,LR,5,Weighting,0.8432234430666666,0.03486594592289757,5.234e-16,4.078768721773066e-16,0.16666666666666666,0.12344267996967351,15,0.0,1.8147618289676124,0.00 (Neg.),1.81 (Large)
Heart Disease,LR,10,Exact,0.8424908423333334,0.033657517000451866,0.0,0.0,0.1,0.09258200997725514,15,,,---,---
Heart Disease,LR,10,SISA,0.8388278386666667,0.03235077243648209,0.34382933313333336,0.11307899854424486,0.1,0.10690449676496976,15,-0.11096442971236313,4.300074393288872,-0.11 (Neg.),4.30 (Large)
